YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,TS,T2M_RANGE
2021,4,10,4.01,6.77,0.41,429.26,83.09,133.18,11.91,0.38,1.95,4.16,27.15,27.82,-268.53
2021,4,11,4.87,6.71,0.5,420.21,98.91,132.14,13.73,0.43,2.22,3.26,26.26,26.8,-270.22
2021,4,12,4.93,6.67,0.51,423.09,99.87,130.88,13.68,0.42,2.2,3.15,26.67,27.15,-268.74
2021,4,13,5.29,6.72,0.55,421.53,106.69,132.14,14.54,0.45,2.3,2.85,26.9,27.71,-268.05
2021,4,14,5.39,6.69,0.55,422.23,108.66,132.09,14.81,0.45,2.35,2.92,27.05,27.8,-267.78
2021,4,15,2.97,6.67,0.3,428.09,63.07,131.74,9.27,0.29,1.48,3.34,26.37,27.04,-269.9
2021,4,16,5.63,6.65,0.59,419.2,112.42,130.59,15.09,0.45,2.38,3.03,26.36,26.98,-269.08
2021,4,17,5.1,6.62,0.53,425.38,103.41,130.55,14.16,0.45,2.34,3.09,26.96,27.71,-267.88
2021,4,18,3.21,6.62,0.34,427.22,67.95,130.67,9.98,0.31,1.59,2.86,26.32,27.09,-269.34
2021,4,19,5.52,6.67,0.58,417.54,110.68,131.26,14.91,0.45,2.36,2.24,26.83,27.49,-267.84
2021,4,20,6.06,6.68,0.64,414.29,120.66,131.14,15.98,0.48,2.52,2.12,26.87,27.75,-267.35
2021,4,21,6.41,6.63,0.68,410.41,126.77,130.04,16.59,0.51,2.7,2.31,27.41,28.3,-266.24
2021,4,22,6.14,6.58,0.65,411.34,121.75,129.05,15.99,0.49,2.65,2.52,27.5,28.46,-266.52
2021,4,23,5.91,6.64,0.63,413.41,117.29,130.02,15.55,0.48,2.51,2.61,27.42,28.33,-266.8
2021,4,24,6.42,6.64,0.69,408.3,126.12,129.43,16.51,0.48,2.58,2.9,27.24,28.07,-267.02
2021,4,25,5.94,6.66,0.64,415.05,117.62,129.96,15.64,0.47,2.43,2.79,27.33,28.12,-266.8
2021,4,26,5.97,6.6,0.64,409.77,117.97,128.84,15.72,0.47,2.44,2.97,27.4,28.47,-266.53
2021,4,27,6.22,6.64,0.67,410.75,122.7,129.66,16.16,0.48,2.52,3.03,27.44,28.66,-267.2
2021,4,28,5.98,6.48,0.65,417.35,118.49,127.07,15.61,0.47,2.46,3.52,26.96,28.05,-267.76
2021,4,29,5.61,6.52,0.61,419.32,110.43,126.71,14.79,0.45,2.32,3.49,27.21,28.14,-267.53
2021,4,30,5.43,6.48,0.59,417.96,107.54,126.85,14.51,0.43,2.22,4.59,26.94,27.83,-268.13
2021,5,1,5.98,6.47,0.66,414.13,117.31,126.01,15.46,0.45,2.34,4.1,26.88,27.6,-267.86
2021,5,2,3.98,6.35,0.44,421.68,81.3,124.6,11.56,0.35,1.77,2.82,26.88,27.7,-268.17
2021,5,3,5.21,6.35,0.57,421.38,104.31,125.25,14.09,0.41,2.13,3.02,26.01,26.65,-269.54
2021,5,4,4.43,6.38,0.49,418.06,89.79,125.8,12.67,0.38,1.9,2.57,25.9,26.62,-269.33
2021,5,5,3.84,6.36,0.42,421.33,79.36,125.19,11.3,0.33,1.65,2.69,25.98,26.75,-268.28
2021,5,6,5.48,6.42,0.61,411.3,108.3,125.41,14.57,0.42,2.17,2.87,26.19,27.05,-267.88
